Time (sec), Voltage (v), Angular velocity (rad/s)
0.000000000000000000e+00,1.000000000000000000e+01,3.701717119761648300e-01
5.050505050505050934e-03,1.000000000000000000e+01,3.601823507446907158e+00
1.010101010101010187e-02,1.000000000000000000e+01,7.972168187259360828e+00
1.515151515151515194e-02,1.000000000000000000e+01,1.209061221132125041e+01
2.020202020202020374e-02,1.000000000000000000e+01,1.536527100083744024e+01
2.525252525252525554e-02,1.000000000000000000e+01,1.859619603312203040e+01
3.030303030303030387e-02,1.000000000000000000e+01,2.054983210268344251e+01
3.535353535353535914e-02,1.000000000000000000e+01,2.252833600857771756e+01
4.040404040404040747e-02,1.000000000000000000e+01,2.430973150878860878e+01
4.545454545454545581e-02,1.000000000000000000e+01,2.588505706959893615e+01
5.050505050505051108e-02,1.000000000000000000e+01,2.666867332702005200e+01
5.555555555555555941e-02,1.000000000000000000e+01,2.770284395632014807e+01
6.060606060606060774e-02,1.000000000000000000e+01,2.824288285229427586e+01
6.565656565656566301e-02,1.000000000000000000e+01,2.923961252445589309e+01
7.070707070707071829e-02,1.000000000000000000e+01,2.925017865381789406e+01
7.575757575757575968e-02,1.000000000000000000e+01,2.956250428407575015e+01
8.080808080808081495e-02,1.000000000000000000e+01,2.961422818513540989e+01
8.585858585858587022e-02,1.000000000000000000e+01,2.977335784032512223e+01
9.090909090909091161e-02,1.000000000000000000e+01,3.034211223573173655e+01
9.595959595959596689e-02,1.000000000000000000e+01,2.955992120596806672e+01
1.010101010101010222e-01,1.000000000000000000e+01,3.048479724731906515e+01
1.060606060606060635e-01,1.000000000000000000e+01,3.016374061943257701e+01
1.111111111111111188e-01,1.000000000000000000e+01,3.016572793610910708e+01
1.161616161616161741e-01,1.000000000000000000e+01,3.022363716895648977e+01
1.212121212121212155e-01,1.000000000000000000e+01,3.064907004310299854e+01
1.262626262626262708e-01,1.000000000000000000e+01,3.080387851343050443e+01
1.313131313131313260e-01,1.000000000000000000e+01,3.082404340279942900e+01
1.363636363636363813e-01,1.000000000000000000e+01,3.072459020668535601e+01
1.414141414141414366e-01,1.000000000000000000e+01,3.065860467935525691e+01
1.464646464646464641e-01,1.000000000000000000e+01,3.068722539824556250e+01
1.515151515151515194e-01,1.000000000000000000e+01,3.018526364481888535e+01
1.565656565656565746e-01,1.000000000000000000e+01,3.041315375607917204e+01
1.616161616161616299e-01,1.000000000000000000e+01,3.062301158915265731e+01
1.666666666666666852e-01,1.000000000000000000e+01,3.030331030943806070e+01
1.717171717171717404e-01,1.000000000000000000e+01,3.062678334688470017e+01
1.767676767676767957e-01,1.000000000000000000e+01,3.000484224278725520e+01
1.818181818181818232e-01,1.000000000000000000e+01,3.016055594979624033e+01
1.868686868686868785e-01,1.000000000000000000e+01,3.069949242580098314e+01
1.919191919191919338e-01,1.000000000000000000e+01,3.031744855939439987e+01
1.969696969696969890e-01,1.000000000000000000e+01,3.068428841584922040e+01
2.020202020202020443e-01,1.000000000000000000e+01,3.025236452415390076e+01
2.070707070707070996e-01,1.000000000000000000e+01,3.033598890199739984e+01
2.121212121212121271e-01,1.000000000000000000e+01,3.036629329135704580e+01
2.171717171717171824e-01,1.000000000000000000e+01,3.043007028811232573e+01
2.222222222222222376e-01,1.000000000000000000e+01,3.101157948058610359e+01
2.272727272727272929e-01,1.000000000000000000e+01,3.078612528176661201e+01
2.323232323232323482e-01,1.000000000000000000e+01,3.043018679985813080e+01
2.373737373737374035e-01,1.000000000000000000e+01,3.035781145282334492e+01
2.424242424242424310e-01,1.000000000000000000e+01,3.090124250878144707e+01
2.474747474747474862e-01,1.000000000000000000e+01,3.050632623660008846e+01
2.525252525252525415e-01,1.000000000000000000e+01,3.049866007468121865e+01
2.575757575757576245e-01,1.000000000000000000e+01,3.067595499087032707e+01
2.626262626262626521e-01,1.000000000000000000e+01,3.041047078791965319e+01
2.676767676767676796e-01,1.000000000000000000e+01,3.046322383945270573e+01
2.727272727272727626e-01,1.000000000000000000e+01,3.078916337579164164e+01
2.777777777777777901e-01,1.000000000000000000e+01,3.067489135038223225e+01
2.828282828282828731e-01,1.000000000000000000e+01,3.090270709464449794e+01
2.878787878787879007e-01,1.000000000000000000e+01,3.019025778805519167e+01
2.929292929292929282e-01,1.000000000000000000e+01,3.059134964722450434e+01
2.979797979797980112e-01,1.000000000000000000e+01,3.076204473076102630e+01
3.030303030303030387e-01,1.000000000000000000e+01,3.018091297297399933e+01
3.080808080808081217e-01,1.000000000000000000e+01,3.059071673017520254e+01
3.131313131313131493e-01,1.000000000000000000e+01,3.062036952210387142e+01
3.181818181818182323e-01,1.000000000000000000e+01,2.995087521076810688e+01
3.232323232323232598e-01,1.000000000000000000e+01,3.051564066824593979e+01
3.282828282828282873e-01,1.000000000000000000e+01,3.062951449771719226e+01
3.333333333333333703e-01,1.000000000000000000e+01,3.049855921018255600e+01
3.383838383838383979e-01,1.000000000000000000e+01,3.024528593618823535e+01
3.434343434343434809e-01,1.000000000000000000e+01,3.089795828966898839e+01
3.484848484848485084e-01,1.000000000000000000e+01,3.073819753653583575e+01
3.535353535353535914e-01,1.000000000000000000e+01,2.987821204984577506e+01
3.585858585858586189e-01,1.000000000000000000e+01,3.075519552702581549e+01
3.636363636363636465e-01,1.000000000000000000e+01,3.074543348600062487e+01
3.686868686868687295e-01,1.000000000000000000e+01,3.117512041310301640e+01
3.737373737373737570e-01,1.000000000000000000e+01,3.068355221318725867e+01
3.787878787878788400e-01,1.000000000000000000e+01,3.074528019922311728e+01
3.838383838383838675e-01,1.000000000000000000e+01,3.045768464573995260e+01
3.888888888888888951e-01,1.000000000000000000e+01,3.077125403765078460e+01
3.939393939393939781e-01,1.000000000000000000e+01,3.076504479212961840e+01
3.989898989898990056e-01,1.000000000000000000e+01,3.072002056639792400e+01
4.040404040404040886e-01,1.000000000000000000e+01,3.091555684034273099e+01
4.090909090909091161e-01,1.000000000000000000e+01,3.019248565909540361e+01
4.141414141414141992e-01,1.000000000000000000e+01,3.075384003926544096e+01
4.191919191919192267e-01,1.000000000000000000e+01,3.082408707761993938e+01
4.242424242424242542e-01,1.000000000000000000e+01,3.034310341829512936e+01
4.292929292929293372e-01,1.000000000000000000e+01,3.042049457806930590e+01
4.343434343434343647e-01,1.000000000000000000e+01,3.039809753978748219e+01
4.393939393939394478e-01,1.000000000000000000e+01,3.021526481978143153e+01
4.444444444444444753e-01,1.000000000000000000e+01,3.055127417638843923e+01
4.494949494949495583e-01,1.000000000000000000e+01,3.029767809061498340e+01
4.545454545454545858e-01,1.000000000000000000e+01,3.087269452245732637e+01
4.595959595959596133e-01,1.000000000000000000e+01,3.095778150388312966e+01
4.646464646464646964e-01,1.000000000000000000e+01,3.036995821554873487e+01
4.696969696969697239e-01,1.000000000000000000e+01,3.049775070347547512e+01
4.747474747474748069e-01,1.000000000000000000e+01,3.050494488657998815e+01
4.797979797979798344e-01,1.000000000000000000e+01,3.053433489782835863e+01
4.848484848484848619e-01,1.000000000000000000e+01,3.080280639620723804e+01
4.898989898989899450e-01,1.000000000000000000e+01,3.103447800799348499e+01
4.949494949494949725e-01,1.000000000000000000e+01,3.015089478615878349e+01
5.000000000000000000e-01,1.000000000000000000e+01,3.049596203206861489e+01
